query_template,log_time_s,count
BEGIN,2022-05-18 18:10:03+00:00,3
BEGIN,2022-05-18 18:10:03.250000+00:00,30
BEGIN,2022-05-18 18:10:03.500000+00:00,40
BEGIN,2022-05-18 18:10:03.750000+00:00,59
BEGIN,2022-05-18 18:10:04+00:00,50
BEGIN,2022-05-18 18:10:04.250000+00:00,56
BEGIN,2022-05-18 18:10:04.500000+00:00,72
BEGIN,2022-05-18 18:10:04.750000+00:00,59
BEGIN,2022-05-18 18:10:05+00:00,52
BEGIN,2022-05-18 18:10:05.250000+00:00,54
BEGIN,2022-05-18 18:10:05.500000+00:00,80
BEGIN,2022-05-18 18:10:05.750000+00:00,69
BEGIN,2022-05-18 18:10:06+00:00,70
BEGIN,2022-05-18 18:10:06.250000+00:00,70
BEGIN,2022-05-18 18:10:06.500000+00:00,57
BEGIN,2022-05-18 18:10:06.750000+00:00,74
BEGIN,2022-05-18 18:10:07+00:00,50
BEGIN,2022-05-18 18:10:07.250000+00:00,63
BEGIN,2022-05-18 18:10:07.500000+00:00,72
BEGIN,2022-05-18 18:10:07.750000+00:00,80
BEGIN,2022-05-18 18:10:08+00:00,56
BEGIN,2022-05-18 18:10:08.250000+00:00,74
BEGIN,2022-05-18 18:10:08.500000+00:00,76
BEGIN,2022-05-18 18:10:08.750000+00:00,58
BEGIN,2022-05-18 18:10:09+00:00,63
BEGIN,2022-05-18 18:10:09.250000+00:00,69
BEGIN,2022-05-18 18:10:09.500000+00:00,61
BEGIN,2022-05-18 18:10:09.750000+00:00,64
BEGIN,2022-05-18 18:10:10+00:00,48
BEGIN,2022-05-18 18:10:10.250000+00:00,57
BEGIN,2022-05-18 18:10:10.500000+00:00,52
BEGIN,2022-05-18 18:10:10.750000+00:00,47
BEGIN,2022-05-18 18:10:11+00:00,64
BEGIN,2022-05-18 18:10:11.250000+00:00,67
BEGIN,2022-05-18 18:10:11.500000+00:00,58
BEGIN,2022-05-18 18:10:11.750000+00:00,55
BEGIN,2022-05-18 18:10:12+00:00,62
BEGIN,2022-05-18 18:10:12.250000+00:00,38
BEGIN,2022-05-18 18:10:12.500000+00:00,47
BEGIN,2022-05-18 18:10:12.750000+00:00,68
BEGIN,2022-05-18 18:10:13+00:00,69
BEGIN,2022-05-18 18:10:13.250000+00:00,79
BEGIN,2022-05-18 18:10:13.500000+00:00,68
BEGIN,2022-05-18 18:10:13.750000+00:00,63
BEGIN,2022-05-18 18:10:14+00:00,81
BEGIN,2022-05-18 18:10:14.250000+00:00,50
BEGIN,2022-05-18 18:10:14.500000+00:00,80
BEGIN,2022-05-18 18:10:14.750000+00:00,46
BEGIN,2022-05-18 18:10:15+00:00,54
BEGIN,2022-05-18 18:10:15.250000+00:00,61
BEGIN,2022-05-18 18:10:15.500000+00:00,72
BEGIN,2022-05-18 18:10:15.750000+00:00,81
BEGIN,2022-05-18 18:10:16+00:00,69
BEGIN,2022-05-18 18:10:16.250000+00:00,83
BEGIN,2022-05-18 18:10:16.500000+00:00,65
BEGIN,2022-05-18 18:10:16.750000+00:00,77
BEGIN,2022-05-18 18:10:17+00:00,78
BEGIN,2022-05-18 18:10:17.250000+00:00,78
BEGIN,2022-05-18 18:10:17.500000+00:00,78
BEGIN,2022-05-18 18:10:17.750000+00:00,81
BEGIN,2022-05-18 18:10:18+00:00,85
BEGIN,2022-05-18 18:10:18.250000+00:00,59
BEGIN,2022-05-18 18:10:18.500000+00:00,60
BEGIN,2022-05-18 18:10:18.750000+00:00,81
BEGIN,2022-05-18 18:10:19+00:00,92
BEGIN,2022-05-18 18:10:19.250000+00:00,46
BEGIN,2022-05-18 18:10:19.500000+00:00,67
BEGIN,2022-05-18 18:10:19.750000+00:00,71
BEGIN,2022-05-18 18:10:20+00:00,62
BEGIN,2022-05-18 18:10:20.250000+00:00,55
BEGIN,2022-05-18 18:10:20.500000+00:00,70
BEGIN,2022-05-18 18:10:20.750000+00:00,62
BEGIN,2022-05-18 18:10:21+00:00,64
BEGIN,2022-05-18 18:10:21.250000+00:00,60
BEGIN,2022-05-18 18:10:21.500000+00:00,52
BEGIN,2022-05-18 18:10:21.750000+00:00,60
BEGIN,2022-05-18 18:10:22+00:00,80
BEGIN,2022-05-18 18:10:22.250000+00:00,51
BEGIN,2022-05-18 18:10:22.500000+00:00,72
BEGIN,2022-05-18 18:10:22.750000+00:00,78
BEGIN,2022-05-18 18:10:23+00:00,73
BEGIN,2022-05-18 18:10:23.250000+00:00,69
BEGIN,2022-05-18 18:10:23.500000+00:00,49
BEGIN,2022-05-18 18:10:23.750000+00:00,62
BEGIN,2022-05-18 18:10:24+00:00,96
BEGIN,2022-05-18 18:10:24.250000+00:00,74
BEGIN,2022-05-18 18:10:24.500000+00:00,65
BEGIN,2022-05-18 18:10:24.750000+00:00,61
BEGIN,2022-05-18 18:10:25+00:00,81
BEGIN,2022-05-18 18:10:25.250000+00:00,72
BEGIN,2022-05-18 18:10:25.500000+00:00,85
BEGIN,2022-05-18 18:10:25.750000+00:00,45
BEGIN,2022-05-18 18:10:26+00:00,69
BEGIN,2022-05-18 18:10:26.250000+00:00,46
BEGIN,2022-05-18 18:10:26.500000+00:00,82
BEGIN,2022-05-18 18:10:26.750000+00:00,74
BEGIN,2022-05-18 18:10:27+00:00,84
BEGIN,2022-05-18 18:10:27.250000+00:00,64
BEGIN,2022-05-18 18:10:27.500000+00:00,51
BEGIN,2022-05-18 18:10:27.750000+00:00,71
BEGIN,2022-05-18 18:10:28+00:00,77
BEGIN,2022-05-18 18:10:28.250000+00:00,66
BEGIN,2022-05-18 18:10:28.500000+00:00,69
BEGIN,2022-05-18 18:10:28.750000+00:00,83
BEGIN,2022-05-18 18:10:29+00:00,54
BEGIN,2022-05-18 18:10:29.250000+00:00,87
BEGIN,2022-05-18 18:10:29.500000+00:00,59
BEGIN,2022-05-18 18:10:29.750000+00:00,55
BEGIN,2022-05-18 18:10:30+00:00,73
BEGIN,2022-05-18 18:10:30.250000+00:00,52
BEGIN,2022-05-18 18:10:30.500000+00:00,67
BEGIN,2022-05-18 18:10:30.750000+00:00,67
BEGIN,2022-05-18 18:10:31+00:00,79
BEGIN,2022-05-18 18:10:31.250000+00:00,94
BEGIN,2022-05-18 18:10:31.500000+00:00,64
BEGIN,2022-05-18 18:10:31.750000+00:00,63
BEGIN,2022-05-18 18:10:32+00:00,59
BEGIN,2022-05-18 18:10:32.250000+00:00,69
BEGIN,2022-05-18 18:10:32.500000+00:00,82
BEGIN,2022-05-18 18:10:32.750000+00:00,51
BEGIN,2022-05-18 18:10:33+00:00,81
BEGIN,2022-05-18 18:10:33.250000+00:00,79
