namespace_name,relation_name,relation_size_bytes,num_bytes_in_buffer_pool,percentage_of_buffer_pool,percentage_of_relation
public,order_line,47759360,47759360,1.19,100.00
public,stock,37429248,37421056,0.93,99.98
public,customer,20635648,20627456,0.51,99.96
public,order_line_pkey,14237696,11231232,0.28,78.88
public,item,10444800,10420224,0.26,99.76
public,history,6799360,5259264,0.13,77.35
public,oorder,3612672,3612672,0.09,100.00
public,item_pkey,2260992,2260992,0.06,100.00
public,stock_pkey,2260992,2260992,0.06,100.00
public,oorder_o_w_id_o_d_id_o_c_id_o_id_key,2162688,2162688,0.05,100.00
public,idx_order,2048000,2048000,0.05,100.00
public,idx_customer_name,1671168,1671168,0.04,100.00
public,oorder_pkey,1458176,1458176,0.04,100.00
public,new_order,1040384,1040384,0.03,100.00
public,customer_pkey,958464,958464,0.02,100.00
public,new_order_pkey,745472,745472,0.02,100.00
pg_toast,pg_toast_2619,458752,458752,0.01,100.00
pg_catalog,pg_statistic,794624,270336,0.01,34.02
pg_catalog,pg_operator,147456,114688,0.00,77.78
pg_catalog,pg_depend_reference_index,458752,114688,0.00,25.00
public,warehouse,90112,90112,0.00,100.00
pg_catalog,pg_depend,598016,73728,0.00,12.33
pg_catalog,pg_rewrite,704512,65536,0.00,9.30
pg_catalog,pg_amop,90112,57344,0.00,63.64
public,district,57344,57344,0.00,100.00
pg_catalog,pg_operator_oprname_l_r_n_index,49152,49152,0.00,100.00
pg_catalog,pg_depend_depender_index,376832,40960,0.00,10.87
pg_catalog,pg_amproc,73728,40960,0.00,55.56
pg_catalog,pg_constraint,73728,40960,0.00,55.56
pg_catalog,pg_description,393216,40960,0.00,10.42
pg_catalog,pg_index,65536,40960,0.00,62.50
pg_catalog,pg_amop_opr_fam_index,49152,40960,0.00,83.33
pg_catalog,pg_extension,49152,40960,0.00,83.33
pg_catalog,pg_init_privs,65536,40960,0.00,62.50
pg_catalog,pg_statistic_relid_att_inh_index,40960,32768,0.00,80.00
pg_catalog,pg_operator_oid_index,40960,32768,0.00,80.00
pg_catalog,pg_amop_fam_strat_index,49152,32768,0.00,66.67
pg_catalog,pg_description_o_c_o_index,221184,24576,0.00,11.11
pg_catalog,pg_collation_oid_index,40960,24576,0.00,60.00
pg_catalog,pg_amproc_fam_proc_index,40960,24576,0.00,60.00
pg_catalog,pg_namespace_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_opclass_am_name_nsp_index,16384,16384,0.00,100.00
pg_catalog,pg_opclass_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_constraint_conrelid_contypid_conname_index,16384,16384,0.00,100.00
pg_catalog,pg_rewrite_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_rewrite_rel_rulename_index,16384,16384,0.00,100.00
pg_catalog,pg_trigger_tgrelid_tgname_index,16384,16384,0.00,100.00
pg_catalog,pg_extension_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_extension_name_index,16384,16384,0.00,100.00
pg_catalog,pg_range_rngmultitypid_index,16384,16384,0.00,100.00
