namespace_name,relation_name,relation_size_bytes,num_bytes_in_buffer_pool,percentage_of_buffer_pool,percentage_of_relation
public,order_line,62341120,47931392,1.19,76.89
public,stock,37683200,36978688,0.92,98.13
public,customer,20774912,20766720,0.52,99.96
public,order_line_pkey,19513344,17539072,0.44,89.88
public,item,10444800,10420224,0.26,99.76
public,oorder,3956736,3956736,0.10,100.00
public,history,4972544,2383872,0.06,47.94
public,oorder_o_w_id_o_d_id_o_c_id_o_id_key,2375680,2375680,0.06,100.00
public,idx_order,2359296,2359296,0.06,100.00
public,stock_pkey,2260992,2260992,0.06,100.00
public,item_pkey,2260992,2260992,0.06,100.00
public,idx_customer_name,1671168,1671168,0.04,100.00
public,oorder_pkey,1884160,1343488,0.03,71.30
public,new_order,1245184,1245184,0.03,100.00
public,customer_pkey,958464,958464,0.02,100.00
public,new_order_pkey,942080,942080,0.02,100.00
pg_toast,pg_toast_2619,335872,335872,0.01,100.00
pg_catalog,pg_statistic,671744,270336,0.01,40.24
pg_catalog,pg_operator,147456,114688,0.00,77.78
public,district,90112,90112,0.00,100.00
pg_catalog,pg_amop,90112,57344,0.00,63.64
pg_toast,pg_toast_2618,548864,57344,0.00,10.45
pg_catalog,pg_rewrite,704512,57344,0.00,8.14
pg_catalog,pg_operator_oprname_l_r_n_index,49152,49152,0.00,100.00
public,warehouse,49152,49152,0.00,100.00
pg_catalog,pg_constraint,73728,40960,0.00,55.56
pg_catalog,pg_amproc,73728,40960,0.00,55.56
pg_catalog,pg_index,65536,40960,0.00,62.50
pg_catalog,pg_amop_opr_fam_index,49152,40960,0.00,83.33
pg_catalog,pg_operator_oid_index,40960,32768,0.00,80.00
pg_catalog,pg_amop_fam_strat_index,49152,32768,0.00,66.67
pg_catalog,pg_statistic_relid_att_inh_index,40960,32768,0.00,80.00
pg_catalog,pg_constraint_conrelid_contypid_conname_index,32768,32768,0.00,100.00
pg_catalog,pg_description_o_c_o_index,221184,24576,0.00,11.11
pg_catalog,pg_collation_oid_index,40960,24576,0.00,60.00
pg_catalog,pg_amproc_fam_proc_index,40960,24576,0.00,60.00
pg_catalog,pg_opclass_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_am,40960,16384,0.00,40.00
pg_catalog,pg_cast,49152,16384,0.00,33.33
pg_catalog,pg_description,393216,16384,0.00,4.17
pg_catalog,pg_namespace,49152,16384,0.00,33.33
pg_catalog,pg_opclass,57344,16384,0.00,28.57
pg_catalog,pg_aggregate_fnoid_index,16384,16384,0.00,100.00
pg_catalog,pg_am_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_attrdef_adrelid_adnum_index,16384,16384,0.00,100.00
pg_catalog,pg_cast_source_target_index,16384,16384,0.00,100.00
pg_catalog,pg_constraint_oid_index,16384,16384,0.00,100.00
pg_catalog,pg_index_indrelid_index,16384,16384,0.00,100.00
pg_catalog,pg_index_indexrelid_index,16384,16384,0.00,100.00
pg_catalog,pg_namespace_nspname_index,16384,16384,0.00,100.00
